250	County Public Information	ks47
251	Prisoner Re-entry Support in the Community	ks47
252	NYS Archive Grant	ks47
348	2015-2016 Shared Business Network	ks47
351	CCE Statewide Website Devlp. (Think Topography)	ks47
456	Park- Tompkins County Food Policy	ks47
460	Robert Smith	ks47
596	College and Career Readiness	ks47
632	2010 Park Fnd-Pellet Stove Project	ks47
636	2012-16 Park- Get Your Green Back	ks47
650	GYGB Gaining Insights Project with Tomp. Co.	ks47
720	Studend Engagement	ks47
758	Tompkins Re-entry Project	ks47
71	United Way Floral Ave Community Garden '13-'14	mr55/cab69
79	2016 Park- Know Your Farmer	mr55
89	Fresh Connect-Healthy Buck Incentives 2015	mr55
98	Risk Management Grant	mr55/dlt22
99	SARE Cold Storage	mr55
101	Southern Tier  Ag.  Programs, Regional	mr55
102	Culinary Cuts	mr55/mnl28
104	CU Aenm6	mr55
108	2015 NYFVI	mr55
110	Farmers Market	mr55
111	Ag and Farmland, AFPB	mr55/dlt22
112	Farm-City Day, FCD	mr55/dlt22
115	SARE FL Cheese	mr55
124	Hatch-Expanding the Beef Industry	mr55/mnl28
127	USDA FMPP-"Meat Locker Concept"	mr55
129	Groundswell	mr55
130	Ag - Park Local Foods Promotion	mr55
131	Ag Tourism	mr55
140	Ithaca Children's Garden	mr55/enm6
141	Citizen Pruners	mr55
148	Comm.Beautification-Operations/Non-Plant	mr55
149	Van #4-Chrysler	mr55
202	2015 Park-Money Matters	ljp9
260	Lead-10/1/14-9/30/15	ljp9
1	Cargill Nutrition Ed. - Reach Mothers w/ Child	ljp9
22	SNAP-Ed Cooking Matters	ljp9
25	SNAP-ED 10/1/15-09/30/16	ljp9
29	Cooking Matters-PEAKS	ljp9
32	2014-15 Comm Fnd Healthy Food for All	ljp9
33	Share Our Strength-Taste of the Nation	ljp9
35	Cooking Matters at the Store	ljp9
38	EFNEP 10/1/2015-9/30/2016	ljp9
39	2016 Park- Virtual Commercial Kitchen	ljp9
40	2016 Feeding Change	ljp9
41	Cooking Class Enterprise	ljp9
42	Working Parents Checklist	ljp9
60	Gardens for Humanity-General	ljp9
72	Seed to Table Afterschool Program	ljp9
82	2012-2014 Park Healthy Food for All	ljp9
90	Community Support Agriculture (CSA)/HFFA	ljp9
94	2015 HFFA Howland Foundation	ljp9
95	2015 HFFA Tourism	ljp9
97	2015 HFFA United Way Hunger & Food Security	ljp9
454	Food Dignity-Cornell	ljp9
455	Food Dignity-Univ of Wyoming	ljp9
365	2016 Regional Nutrition Team	hmg2
485	Kinship Care	ahs38/met38
490	Multicultural Resource Center	fb29
491	MRC-Celebrations-mnl28K	fb29
492	MRC-First Peoples Festival	fb29
493	MRC-Talking Circles	fb29
494	MRC-Sister Friends	fb29
496	2014 Park Re-entry Grant	fb29
497	MRC Youth Org Fellowship	fb29
498	MRC New Jim Crow Book Read	fb29
499	MRC Debate	fb29
477	2014 Family Treatment Court	ljp9/ahs38
201	2016 CJC NLI Leadership	mjh17
449	2016 NLI Community Fnd- Collective Impact	mjh17
453	2016 Park -NLI From Scarcity to Abundance	mjh17
470	Natural Leaders-General	mjh17
473	2015 Park-Natural Leaders	mjh17
474	NLI Grad Conference Scholarships	mjh17
475	NLI 2015 Grassroots Leadership Development	mjh17
459	Better Together (Park Fnd)	met38
480	Safe Care	met38
481	Parenting Workshops-(PSWS)	met38/ahs38
482	Parent-Facilitated Visits-DSS	met38/ahs38
463	Family Resource Connection-Tompkins 9/13-8/14	met38/ahs38/ebw52
483	2014 CJC- Healthy Families	met38/jcg33
484	City of Federation of Woman	mjh17
500	RYS #2- Fee for Service	sjl44
501	RYS - Coordinator	sjl44
502	Danby - RYS	sjl44
503	Danby - Youth Employment	sjl44
504	Dryden - RYS,	sjl44
505	Dryden - Youth Employment	sjl44
506	2010 OURS Grant	sjl44
507	VAN #6 - 2010 OURS Program	sjl44
508	Enfield - RYS,	sjl44
